n	y[n]	INTEG(y[n])
1192	1874	20882
1193	1866	20889
1194	1870	20896
1195	1863	20904
1196	1867	20911
1197	1860	20918
1198	1863	20925
1199	1856	20933
1200	1860	20940
1201	1853	20947
1202	1857	20954
1203	1849	20962
1204	1853	20969
1205	1846	20976
1206	1850	20983
1207	1843	20991
1208	1847	20998
1209	1840	21005
1210	1843	21012
1211	1836	21019
1212	1840	21027
1213	1833	21034
1214	1837	21041
1215	1830	21048
1216	1834	21055
1217	1826	21062
1218	1830	21069
1219	1823	21077
1220	1827	21084
1221	1820	21091
1222	1824	21098
1223	1817	21105
1224	1821	21112
1225	1814	21119
1226	1817	21126
1227	1810	21133
1228	1814	21140
1229	1807	21148
1230	1811	21155
1231	1804	21162
1232	1808	21169
1233	1801	21176
1234	1805	21183
1235	1798	21190
1236	1802	21197
1237	1795	21204
1238	1798	21211
1239	1791	21218
1240	1795	21225
1241	1788	21232
1242	1792	21239
1243	1785	21246
1244	1789	21253
1245	1782	21260
1246	1786	21267
1247	1779	21274
1248	1783	21281
1249	1776	21288
1250	1780	21295
1251	1773	21302
1252	1777	21308
1253	1770	21315
1254	1774	21322
1255	1767	21329
1256	1771	21336
1257	1764	21343
1258	1768	21350
1259	1761	21357
1260	1765	21364
1261	1758	21371
1262	1762	21377
1263	1755	21384
1264	1759	21391
1265	1752	21398
1266	1756	21405
1267	1749	21412
1268	1753	21419
1269	1746	21425
1270	1750	21432
1271	1743	21439
1272	1747	21446
1273	1740	21453
1274	1744	21459
1275	1737	21466
1276	1741	21473
1277	1734	21480
1278	1738	21487
1279	1732	21493
1280	1735	21500
1281	1729	21507
1282	1733	21514
1283	1726	21520
1284	1730	21527
1285	1723	21534
1286	1727	21541
1287	1720	21547
1288	1724	21554
1289	1717	21561
1290	1721	21568
1291	1714	21574
1292	1718	21581
1293	1712	21588
1294	1716	21594
1295	1709	21601
1296	1713	21608
1297	1706	21614
1298	1710	21621
1299	1703	21628
1300	1707	21634
1301	1701	21641
1302	1704	21648
1303	1698	21654
1304	1702	21661
1305	1695	21668
1306	1699	21674
1307	1692	21681
1308	1696	21687
1309	1690	21694
1310	1694	21701
1311	1687	21707
1312	1691	21714
1313	1684	21720
1314	1688	21727
1315	1682	21734
1316	1685	21740
1317	1679	21747
1318	1683	21753
1319	1676	21760
1320	1680	21766
1321	1674	21773
1322	1677	21780
1323	1671	21786
1324	1675	21793
1325	1668	21799
1326	1672	21806
1327	1666	21812
1328	1670	21819
1329	1663	21825
1330	1667	21832
1331	1660	21838
1332	1664	21845
1333	1658	21851
1334	1662	21858
1335	1655	21864
1336	1659	21871
1337	1653	21877
1338	1657	21884
1339	1650	21890
1340	1654	21896
1341	1647	21903
1342	1651	21909
1343	1645	21916
1344	1649	21922
1345	1642	21929
1346	1646	21935
1347	1640	21941
1348	1644	21948
1349	1637	21954
1350	1641	21961
1351	1635	21967
1352	1639	21973
1353	1632	21980
1354	1636	21986
1355	1630	21993
1356	1634	21999
1357	1627	22005
1358	1631	22012
1359	1625	22018
1360	1629	22024
1361	1622	22031
1362	1626	22037
1363	1620	22043
1364	1624	22050
1365	1618	22056
1366	1622	22062
1367	1615	22069
1368	1619	22075
1369	1613	22081
1370	1617	22088
1371	1610	22094
1372	1614	22100
1373	1608	22107
1374	1612	22113
1375	1606	22119
1376	1609	22125
1377	1603	22132
1378	1607	22138
1379	1601	22144
1380	1605	22150
1381	1598	22157
1382	1602	22163
1383	1596	22169
1384	1600	22175
1385	1594	22182
1386	1598	22188
1387	1591	22194
1388	1595	22200
1389	1589	22207
1390	1593	22213
1391	1587	22219
1392	1591	22225
1393	1584	22231
1394	1588	22238
1395	1582	22244
1396	1586	22250
1397	1580	22256
1398	1584	22262
1399	1578	22268
1400	1582	22275
1401	1575	22281
1402	1579	22287
1403	1573	22293
1404	1577	22299
1405	1571	22305
1406	1575	22312
1407	1569	22318
1408	1572	22324
1409	1566	22330
1410	1570	22336
1411	1564	22342
1412	1568	22348
1413	1562	22354
1414	1566	22361
1415	1560	22367
1416	1564	22373
1417	1557	22379
1418	1561	22385
1419	1555	22391
1420	1559	22397
1421	1553	22403
1422	1557	22409
1423	1551	22415
1424	1555	22421
1425	1549	22427
1426	1553	22433
1427	1547	22440
1428	1551	22446
1429	1544	22452
1430	1548	22458
1431	1542	22464
1432	1546	22470
1433	1540	22476
1434	1544	22482
1435	1538	22488
1436	1542	22494
1437	1536	22500
1438	1540	22506
1439	1534	22512
1440	1538	22518
1441	1532	22524
1442	1536	22530
1443	1530	22536
1444	1534	22542
1445	1528	22548
1446	1531	22554
1447	1525	22560
1448	1529	22566
1449	1523	22572
1450	1527	22578
1451	1521	22584
1452	1525	22589
1453	1519	22595
1454	1523	22601
1455	1517	22607
1456	1521	22613
1457	1515	22619
1458	1519	22625
1459	1513	22631
1460	1517	22637
1461	1511	22643
1462	1515	22649
1463	1509	22655
1464	1513	22661
1465	1507	22666
1466	1511	22672
1467	1505	22678
1468	1509	22684
1469	1503	22690
1470	1507	22696
1471	1501	22702
1472	1505	22708
1473	1499	22713
1474	1503	22719
1475	1497	22725
1476	1501	22731
1477	1495	22737
1478	1499	22743
1479	1493	22749
1480	1497	22754
1481	1491	22760
1482	1495	22766
1483	1489	22772
1484	1493	22778
1485	1488	22784
1486	1491	22789
1487	1486	22795
1488	1490	22801
1489	1484	22807
1490	1488	22813
1491	1482	22818
1492	1486	22824
1493	1480	22830
1494	1484	22836
1495	1478	22842
1496	1482	22847
1497	1476	22853
1498	1480	22859
1499	1474	22865
1500	1478	22870
1501	1472	22876
1502	1476	22882
1503	1471	22888
1504	1474	22893
1505	1469	22899
1506	1473	22905
1507	1467	22911
1508	1471	22916
1509	1465	22922
1510	1469	22928
1511	1463	22934
1512	1467	22939
1513	1461	22945
1514	1465	22951
1515	1460	22956
1516	1463	22962
1517	1458	22968
1518	1462	22974
1519	1456	22979
1520	1460	22985
1521	1454	22991
1522	1458	22996
1523	1452	23002
1524	1456	23008
1525	1451	23013
1526	1454	23019
1527	1449	23025
1528	1453	23030
1529	1447	23036
1530	1451	23042
1531	1445	23047
1532	1449	23053
1533	1443	23059
1534	1447	23064
1535	1442	23070
1536	1446	23076
1537	1440	23081
1538	1444	23087
1539	1438	23092
1540	1442	23098
1541	1437	23104
1542	1440	23109
1543	1435	23115
1544	1439	23121
1545	1433	23126
1546	1437	23132
1547	1431	23137
1548	1435	23143
1549	1430	23149
1550	1434	23154
1551	1428	23160
1552	1432	23165
1553	1426	23171
1554	1430	23176
1555	1425	23182
1556	1429	23188
1557	1423	23193
1558	1427	23199
1559	1421	23204
1560	1425	23210
1561	1420	23215
1562	1424	23221
1563	1418	23227
1564	1422	23232
1565	1416	23238
1566	1420	23243
1567	1415	23249
1568	1419	23254
1569	1413	23260
1570	1417	23265
1571	1411	23271
1572	1415	23276
1573	1410	23282
1574	1414	23287
1575	1408	23293
1576	1412	23298
1577	1407	23304
1578	1410	23309
1579	1405	23315
1580	1409	23320
1581	1403	23326
1582	1407	23331
1583	1402	23337
1584	1406	23342
1585	1400	23348
1586	1404	23353
1587	1399	23359
1588	1403	23364
1589	1397	23370
1590	1401	23375
1591	1395	23381
1592	1399	23386
1593	1394	23391
1594	1398	23397
1595	1392	23402
1596	1396	23408
1597	1391	23413
1598	1395	23419
1599	1389	23424
1600	1393	23430
1601	1388	23435
1602	1392	23440
1603	1386	23446
1604	1390	23451
1605	1385	23457
1606	1389	23462
1607	1383	23468
1608	1387	23473
1609	1382	23478
1610	1386	23484
1611	1380	23489
1612	1384	23495
1613	1379	23500
1614	1383	23505
1615	1377	23511
1616	1381	23516
1617	1376	23521
1618	1380	23527
1619	1374	23532
1620	1378	23538
1621	1373	23543
1622	1377	23548
1623	1371	23554
1624	1375	23559
1625	1370	23564
1626	1374	23570
1627	1368	23575
1628	1372	23581
1629	1367	23586
1630	1371	23591
1631	1365	23597
1632	1369	23602
1633	1364	23607
1634	1368	23613
1635	1363	23618
1636	1366	23623
1637	1361	23629
1638	1365	23634
1639	1360	23639
1640	1364	23645
1641	1358	23650
1642	1362	23655
1643	1357	23660
1644	1361	23666
1645	1355	23671
1646	1359	23676
1647	1354	23682
1648	1358	23687
1649	1353	23692
1650	1357	23698
1651	1351	23703
1652	1355	23708
1653	1350	23713
1654	1354	23719
1655	1348	23724
1656	1352	23729
1657	1347	23734
1658	1351	23740
1659	1346	23745
1660	1350	23750
