n	y[n]	INTEG(y[n])
1007	193	9767
1008	193	9768
1009	192	9769
1010	191	9769
1011	190	9770
1012	190	9771
1013	189	9772
1014	188	9772
1015	188	9773
1016	187	9774
1017	186	9775
1018	185	9775
1019	185	9776
1020	184	9777
1021	183	9778
1022	182	9778
1023	182	9779
1024	181	9780
1025	180	9780
1026	180	9781
1027	179	9782
1028	178	9782
1029	178	9783
1030	177	9784
1031	176	9785
1032	175	9785
1033	175	9786
1034	174	9787
1035	173	9787
1036	173	9788
1037	172	9789
1038	171	9789
1039	171	9790
1040	170	9791
1041	169	9791
1042	169	9792
1043	168	9793
1044	167	9793
1045	167	9794
1046	166	9795
1047	165	9795
1048	165	9796
1049	164	9796
1050	163	9797
1051	163	9798
1052	162	9798
1053	162	9799
1054	161	9800
1055	160	9800
1056	160	9801
1057	159	9801
1058	158	9802
1059	158	9803
1060	157	9803
1061	157	9804
1062	156	9805
1063	155	9805
1064	155	9806
1065	154	9806
1066	154	9807
1067	153	9808
1068	152	9808
1069	152	9809
1070	151	9809
1071	151	9810
1072	150	9811
1073	149	9811
1074	149	9812
1075	148	9812
1076	148	9813
1077	147	9813
1078	147	9814
1079	146	9815
1080	145	9815
1081	145	9816
1082	144	9816
1083	144	9817
1084	143	9817
1085	143	9818
1086	142	9818
1087	141	9819
1088	141	9820
1089	140	9820
1090	140	9821
1091	139	9821
1092	139	9822
1093	138	9822
1094	138	9823
1095	137	9823
1096	137	9824
1097	136	9824
1098	135	9825
1099	135	9826
1100	134	9826
1101	134	9827
1102	133	9827
1103	133	9828
1104	132	9828
1105	132	9829
1106	131	9829
1107	131	9830
1108	130	9830
1109	130	9831
1110	129	9831
1111	129	9832
1112	128	9832
1113	128	9833
1114	127	9833
1115	127	9834
1116	126	9834
1117	126	9835
1118	125	9835
1119	125	9836
1120	124	9836
1121	124	9837
1122	123	9837
1123	123	9838
1124	122	9838
1125	122	9839
1126	121	9839
1127	121	9839
1128	120	9840
1129	120	9840
1130	120	9841
1131	119	9841
1132	119	9842
1133	118	9842
1134	118	9843
1135	117	9843
1136	117	9844
1137	116	9844
1138	116	9845
1139	115	9845
1140	115	9845
1141	115	9846
1142	114	9846
1143	114	9847
1144	113	9847
1145	113	9848
1146	112	9848
1147	112	9849
1148	111	9849
1149	111	9849
1150	111	9850
1151	110	9850
1152	110	9851
1153	109	9851
1154	109	9852
1155	108	9852
1156	108	9852
1157	108	9853
1158	107	9853
1159	107	9854
1160	106	9854
1161	106	9854
1162	105	9855
1163	105	9855
1164	105	9856
1165	104	9856
1166	104	9857
1167	103	9857
1168	103	9857
1169	103	9858
1170	102	9858
1171	102	9859
1172	101	9859
1173	101	9859
1174	101	9860
1175	100	9860
1176	100	9860
1177	99	9861
1178	99	9861
1179	99	9862
1180	98	9862
1181	98	9862
1182	98	9863
1183	97	9863
1184	97	9864
1185	96	9864
1186	96	9864
1187	96	9865
1188	95	9865
1189	95	9865
1190	95	9866
1191	94	9866
1192	94	9867
1193	93	9867
1194	93	9867
1195	93	9868
1196	92	9868
1197	92	9868
1198	92	9869
1199	91	9869
1200	91	9869
1201	91	9870
1202	90	9870
1203	90	9870
1204	89	9871
1205	89	9871
1206	89	9871
1207	88	9872
1208	88	9872
1209	88	9873
1210	87	9873
1211	87	9873
1212	87	9874
1213	86	9874
1214	86	9874
1215	86	9875
1216	85	9875
1217	85	9875
1218	85	9876
1219	84	9876
1220	84	9876
1221	84	9877
1222	83	9877
1223	83	9877
1224	83	9878
1225	82	9878
1226	82	9878
1227	82	9878
1228	81	9879
1229	81	9879
1230	81	9879
1231	81	9880
1232	80	9880
1233	80	9880
1234	80	9881
1235	79	9881
1236	79	9881
1237	79	9882
1238	78	9882
1239	78	9882
1240	78	9883
1241	77	9883
1242	77	9883
1243	77	9883
1244	77	9884
1245	76	9884
1246	76	9884
1247	76	9885
1248	75	9885
1249	75	9885
1250	75	9885
1251	74	9886
1252	74	9886
1253	74	9886
1254	74	9887
1255	73	9887
1256	73	9887
1257	73	9887
1258	72	9888
1259	72	9888
1260	72	9888
1261	72	9889
1262	71	9889
1263	71	9889
1264	71	9889
1265	70	9890
1266	70	9890
1267	70	9890
1268	70	9891
1269	69	9891
1270	69	9891
1271	69	9891
1272	69	9892
1273	68	9892
1274	68	9892
1275	68	9892
1276	68	9893
1277	67	9893
1278	67	9893
1279	67	9893
1280	66	9894
1281	66	9894
1282	66	9894
1283	66	9895
1284	65	9895
1285	65	9895
1286	65	9895
1287	65	9896
1288	64	9896
1289	64	9896
1290	64	9896
1291	64	9897
1292	63	9897
1293	63	9897
1294	63	9897
1295	63	9898
1296	62	9898
1297	62	9898
1298	62	9898
1299	62	9898
1300	61	9899
1301	61	9899
1302	61	9899
1303	61	9899
1304	61	9900
1305	60	9900
1306	60	9900
1307	60	9900
1308	60	9901
1309	59	9901
1310	59	9901
1311	59	9901
1312	59	9902
1313	58	9902
1314	58	9902
1315	58	9902
1316	58	9902
1317	58	9903
1318	57	9903
1319	57	9903
1320	57	9903
1321	57	9904
1322	56	9904
1323	56	9904
1324	56	9904
1325	56	9904
1326	56	9905
1327	55	9905
1328	55	9905
1329	55	9905
1330	55	9905
1331	54	9906
1332	54	9906
1333	54	9906
1334	54	9906
1335	54	9907
1336	53	9907
1337	53	9907
1338	53	9907
1339	53	9907
1340	53	9908
1341	52	9908
1342	52	9908
1343	52	9908
1344	52	9908
1345	52	9909
1346	51	9909
1347	51	9909
1348	51	9909
1349	51	9909
1350	51	9910
1351	50	9910
1352	50	9910
1353	50	9910
1354	50	9910
1355	50	9911
1356	49	9911
1357	49	9911
1358	49	9911
1359	49	9911
1360	49	9912
1361	48	9912
1362	48	9912
1363	48	9912
1364	48	9912
1365	48	9912
1366	47	9913
1367	47	9913
1368	47	9913
1369	47	9913
1370	47	9913
1371	47	9914
1372	46	9914
1373	46	9914
1374	46	9914
1375	46	9914
1376	46	9914
1377	45	9915
1378	45	9915
1379	45	9915
1380	45	9915
1381	45	9915
1382	45	9916
1383	44	9916
1384	44	9916
1385	44	9916
1386	44	9916
1387	44	9916
1388	44	9917
1389	43	9917
1390	43	9917
1391	43	9917
1392	43	9917
1393	43	9917
1394	43	9918
1395	42	9918
1396	42	9918
1397	42	9918
1398	42	9918
1399	42	9918
1400	42	9919
1401	41	9919
1402	41	9919
1403	41	9919
1404	41	9919
1405	41	9919
1406	41	9920
1407	40	9920
1408	40	9920
1409	40	9920
1410	40	9920
1411	40	9920
1412	40	9920
1413	39	9921
1414	39	9921
1415	39	9921
1416	39	9921
1417	39	9921
1418	39	9921
1419	39	9922
1420	38	9922
1421	38	9922
1422	38	9922
1423	38	9922
1424	38	9922
1425	38	9922
1426	38	9923
1427	37	9923
1428	37	9923
1429	37	9923
1430	37	9923
1431	37	9923
1432	37	9923
1433	37	9924
1434	36	9924
1435	36	9924
1436	36	9924
1437	36	9924
1438	36	9924
1439	36	9924
1440	36	9925
1441	35	9925
1442	35	9925
1443	35	9925
1444	35	9925
1445	35	9925
1446	35	9925
1447	35	9926
1448	34	9926
1449	34	9926
1450	34	9926
1451	34	9926
1452	34	9926
1453	34	9926
1454	34	9926
1455	34	9927
1456	33	9927
1457	33	9927
1458	33	9927
1459	33	9927
1460	33	9927
1461	33	9927
1462	33	9927
1463	32	9928
1464	32	9928
1465	32	9928
1466	32	9928
1467	32	9928
1468	32	9928
1469	32	9928
1470	32	9928
1471	31	9929
1472	31	9929
1473	31	9929
1474	31	9929
1475	31	9929
1476	31	9929
1477	31	9929
1478	31	9929
1479	31	9930
1480	30	9930
1481	30	9930
1482	30	9930
1483	30	9930
1484	30	9930
1485	30	9930
1486	30	9930
1487	30	9930
1488	29	9931
1489	29	9931
1490	29	9931
1491	29	9931
1492	29	9931
1493	29	9931
1494	29	9931
1495	29	9931
1496	29	9932
1497	28	9932
1498	28	9932
1499	28	9932
